id,trace_id,parent_span_id,name,type,start_time,end_time,input,output,model,provider,usage
trace-11-root,trace-11,,rag_pipeline,general,2026-08-20T09:00:00Z,2026-08-20T09:00:04.027956Z,"{""query"": ""Which embedding model is used?""}","{""answer"": ""sentence-transformers/all-MiniLM-L6-v2.""}",,,
trace-11-embed_query,trace-11,trace-11-root,embed_query,general,2026-08-20T09:00:00Z,2026-08-20T09:00:00.483355Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-11-pinecone_search,trace-11,trace-11-root,pinecone_search,tool,2026-08-20T09:00:00.483355Z,2026-08-20T09:00:01.691742Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-11-build_prompt,trace-11,trace-11-root,build_prompt,general,2026-08-20T09:00:01.691741Z,2026-08-20T09:00:01.893139Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-11-openrouter_completion,trace-11,trace-11-root,openrouter_completion,llm,2026-08-20T09:00:01.893139Z,2026-08-20T09:00:03.907117Z,"{""query"": ""Which embedding model is used?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""sentence-transformers/all-MiniLM-L6-v2.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 359, ""completion_tokens"": 169}"
trace-12-root,trace-12,,rag_pipeline,general,2026-08-20T09:02:00Z,2026-08-20T09:02:01.608504Z,"{""query"": ""What is RAG?""}","{""answer"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}",,,
trace-12-embed_query,trace-12,trace-12-root,embed_query,general,2026-08-20T09:02:00Z,2026-08-20T09:02:00.193020Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-12-pinecone_search,trace-12,trace-12-root,pinecone_search,tool,2026-08-20T09:02:00.193020Z,2026-08-20T09:02:00.675571Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-12-build_prompt,trace-12,trace-12-root,build_prompt,general,2026-08-20T09:02:00.675572Z,2026-08-20T09:02:00.755997Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-12-openrouter_completion,trace-12,trace-12-root,openrouter_completion,llm,2026-08-20T09:02:00.755997Z,2026-08-20T09:02:01.560249Z,"{""query"": ""What is RAG?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 879, ""completion_tokens"": 71}"
trace-13-root,trace-13,,rag_pipeline,general,2026-08-20T09:04:00Z,2026-08-20T09:04:04.026584Z,"{""query"": ""What is RAG?""}","{""answer"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}",,,
trace-13-embed_query,trace-13,trace-13-root,embed_query,general,2026-08-20T09:04:00Z,2026-08-20T09:04:00.483190Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-13-pinecone_search,trace-13,trace-13-root,pinecone_search,tool,2026-08-20T09:04:00.483190Z,2026-08-20T09:04:01.691165Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
